date, region, infected, recovered, timestamp_requested
2021-07-31 04:21:35,Khakassia Republic,30114,26229,08-03-2021 09.23.24
2021-07-31 04:21:35,Khanty-Mansi Autonomous Okrug,65140,61438,08-03-2021 09.23.24
2021-07-31 04:21:35,Kirov Oblast,50177,47230,08-03-2021 09.23.24
2021-07-31 04:21:35,Komi Republic,54894,47653,08-03-2021 09.23.24
2021-07-31 04:21:35,Kostroma Oblast,27044,22463,08-03-2021 09.23.24
2021-07-31 04:21:35,Krasnodar Krai,58787,47112,08-03-2021 09.23.24
2021-07-31 04:21:35,Krasnoyarsk Krai,90523,75836,08-03-2021 09.23.24
2021-07-31 04:21:35,Kurgan Oblast,25637,23399,08-03-2021 09.23.24
2021-07-31 04:21:35,Kursk Oblast,46260,43319,08-03-2021 09.23.24
2021-07-31 04:21:35,Leningrad Oblast,55850,47111,08-03-2021 09.23.24
2021-07-31 04:21:35,Lipetsk Oblast,39484,34139,08-03-2021 09.23.24
2021-07-31 04:21:35,Magadan Oblast,9464,8687,08-03-2021 09.23.24
2021-07-31 04:21:35,Mari El Republic,16021,14666,08-03-2021 09.23.24
2021-07-31 04:21:35,Mordovia Republic,23795,21001,08-03-2021 09.23.24
2021-07-31 04:21:35,Moscow,1502612,1355871,08-03-2021 09.23.24
2021-07-31 04:21:35,Moscow Oblast,383645,312885,08-03-2021 09.23.24
2021-07-31 04:21:35,Murmansk Oblast,61632,51049,08-03-2021 09.23.24
2021-07-31 04:21:35,Nenets Autonomous Okrug,1564,1439,08-03-2021 09.23.24
2021-07-31 04:21:35,Nizhny Novgorod Oblast,140019,127575,08-03-2021 09.23.24
2021-07-31 04:21:35,North Ossetia - Alania Republic,18693,17170,08-03-2021 09.23.24
2021-07-31 04:21:35,Novgorod Oblast,36334,33964,08-03-2021 09.23.24
2021-07-31 04:21:35,Novosibirsk Oblast,52511,44603,08-03-2021 09.23.24
2021-07-31 04:21:35,Omsk Oblast,60855,54581,08-03-2021 09.23.24
2021-07-31 04:21:35,Orel Oblast,40091,37831,08-03-2021 09.23.24
2021-07-31 04:21:35,Orenburg Oblast,55948,46694,08-03-2021 09.23.24
2021-07-31 04:21:35,Penza Oblast,55972,46290,08-03-2021 09.23.24
2021-07-31 04:21:35,Perm Krai,72601,64329,08-03-2021 09.23.24
